FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"AR, Craighead",5031,Craighead,Arkansas,12/20/2024,WOAH Non-Poultry,60,0,2,1
"MN, Houston",27055,Houston,Minnesota,12/20/2024,WOAH Non-Poultry,60,0,1,1
"MN, Chippewa",27023,Chippewa,Minnesota,12/20/2024,Commercial Turkey Meat Bird,54800,0,1,1
"MS, Greene",28041,Greene,Mississippi,12/20/2024,Commercial Broiler Breeder,26000,0,1,1
"OR, Benton",41003,Benton,Oregon,12/20/2023,WOAH Non-Poultry,50,0,1,1
"SD, Charles Mix",46023,Charles Mix,South Dakota,12/20/2023,Commercial Upland Gamebird Producer; Commercial Turkey Meat Bird; WOAH Poultry,606850,0,13,1
"IA, Mahaska",19123,Mahaska,Iowa,12/20/2023,WOAH Non-Poultry,30,1,1,1
"SD, Hanson",46061,Hanson,South Dakota,12/20/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,255550,0,7,1
"CO, Weld",8123,Weld,Colorado,12/20/2022,Commercial Table Egg Layer; WOAH Non-Poultry; Commercial Table Egg Pullets,9594320,1,14,1
"ID, Gem",16045,Gem,Idaho,12/20/2022,WOAH Non-Poultry,80,0,1,1
"MN, Fillmore",27045,Fillmore,Minnesota,12/19/2024,Commercial Turkey Meat Bird,28600,0,1,1
"OR, Coos",41011,Coos,Oregon,12/19/2024,WOAH Non-Poultry,60,0,2,1
"WI, Kenosha",55059,Kenosha,Wisconsin,12/19/2024,WOAH Poultry,6,0,1,1
"OH, Greene",39057,Greene,Ohio,12/19/2024,WOAH Poultry,110,0,1,1
"MN, Stearns",27145,Stearns,Minnesota,12/19/2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Turkey Breeder Hens,794960,0,24,1
"AL, Pickens",1107,Pickens,Alabama,12/19/2024,WOAH Non-Poultry,50,1,1,1
"OR, Deschutes",41017,Deschutes,Oregon,12/19/2024,WOAH Non-Poultry; WOAH Poultry,658,0,9,1
"AL, Cullman",1043,Cullman,Alabama,12/19/2024,Commercial Broiler Production,116000,0,1,1
"AR, Jackson",5067,Jackson,Arkansas,12/19/2024,WOAH Non-Poultry,230,0,1,1
"CA, Lassen",6035,Lassen,California,12/19/2023,WOAH Non-Poultry,90,0,1,1
"KS, Barton",20009,Barton,Kansas,12/19/2023,WOAH Non-Poultry,100,0,2,1
"WA, King",53033,King,Washington,12/19/2023,WOAH Poultry; WOAH Non-Poultry,589,0,9,1
"KS, Mcpherson",20113,Mcpherson,Kansas,12/19/2023,WOAH Poultry; Commercial Turkey Breeder Hens,46900,0,3,1
"KS, Rice",20159,Rice,Kansas,12/19/2023,Commercial Table Egg Layer; WOAH Non-Poultry; Commercial Table Egg Pullets,1740100,0,4,1
"CA, Mendocino",6045,Mendocino,California,12/19/2022,WOAH Non-Poultry,20,0,1,1
"KS, Doniphan",20043,Doniphan,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird; WOAH Non-Poultry,5730,0,2,1
"KS, Rooks",20163,Rooks,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5300,0,1,1
"ND, Nelson",38063,Nelson,North Dakota,12/18/2024,WOAH Non-Poultry,110,0,2,1
"MO, Howard",29089,Howard,Missouri,12/18/2024,WOAH Non-Poultry,60,0,1,1
"LA, Jefferson Davis Parish",22053,Jefferson Davis,Louisiana,12/18/2024,WOAH Non-Poultry,30,1,1,1
"IA, Monona",19133,Monona,Iowa,12/17/2024,WOAH Non-Poultry,30,0,1,1
